person,player,column,value
Nava,Ben,merge,
Nava,Kenzie,merge,
Nava,Charlie,merge,
Nava,Maria,merge,
Nava,Hunter,merge,
Nava,Soda,merge,
Nava,Randen,merge,
Nava,Tevin,merge,
Nava,Venus,merge,
Nava,Tim,merge,
Nava,Ben,idol,
Nava,Kenzie,idol,
Nava,Randen,idol,
Nava,Tiffany,idol,
Nava,Venus,idol,
Nava,Ben,immunity,
Nava,Charlie,immunity,
Nava,Hunter,immunity,
Nava,Tiffany,immunity,
Nava,Venus,immunity,
Nava,Venus,final_tribal,50
Nava,Venus,winner,
Giulia,Ben,merge,
Giulia,Bhanu,merge,
Giulia,Maria,merge,
Giulia,Hunter,merge,
Giulia,Soda,merge,
Giulia,Randen,merge,
Giulia,Tiffany,merge,
Giulia,Tevin,merge,
Giulia,Venus,merge,
Giulia,Tim,merge,
Giulia,Ben,idol,
Giulia,Randen,idol,
Giulia,Tiffany,idol,
Giulia,Tevin,idol,
Giulia,Tim,idol,
Giulia,Ben,immunity,
Giulia,Randen,immunity,
Giulia,Tiffany,immunity,
Giulia,Tevin,immunity,
Giulia,Tim,immunity,
Giulia,Ben,final_tribal,24
Giulia,Hunter,final_tribal,10
Giulia,Tevin,final_tribal,10
Giulia,Tim,final_tribal,10
Giulia,Hunter,winner,
Quinn,Ben,merge,
Quinn,Jess,merge,
Quinn,Charlie,merge,
Quinn,Maria,merge,
Quinn,Hunter,merge,
Quinn,Moriah,merge,
Quinn,Randen,merge,
Quinn,Tiffany,merge,
Quinn,Tevin,merge,
Quinn,Tim,merge,
Quinn,Ben,immunity,
Quinn,Charlie,immunity,
Quinn,Hunter,immunity,
Quinn,Randen,immunity,
Quinn,Tim,immunity,
Quinn,Hunter,final_tribal,10
Quinn,Randen,final_tribal,10
Quinn,Tim,final_tribal,30
Quinn,Tim,winner,
Jen,Jem,merge,
Jen,Bhanu,merge,
Jen,Liz,merge,
Jen,Maria,merge,
Jen,Hunter,merge,
Jen,Q,merge,
Jen,Soda,merge,
Jen,Tevin,merge,
Jen,Venus,merge,
Jen,Tim,merge,
Jen,Jess,idol,
Jen,Maria,idol,
Jen,Q,idol,
Jen,Tiffany,idol,
Jen,Venus,idol,
Jen,Jem,immunity,
Jen,Liz,immunity,
Jen,Soda,immunity,
Jen,Tevin,immunity,
Jen,Tim,immunity,
Jen,Jem,final_tribal,5
Jen,Bhanu,final_tribal,5
Jen,Charlie,final_tribal,10
Jen,Hunter,final_tribal,10
Jen,Soda,final_tribal,10
Jen,Tim,final_tribal,10
Jen,Tevin,winner,
Anthony,Jess,merge,
Anthony,Bhanu,merge,
Anthony,Liz,merge,
Anthony,Maria,merge,
Anthony,Hunter,merge,
Anthony,Quinn,merge,
Anthony,Soda,merge,
Anthony,Randen,merge,
Anthony,Tevin,merge,
Anthony,Venus,merge,
Anthony,Jess,idol,
Anthony,Hunter,idol,
Anthony,Q,idol,
Anthony,Randen,idol,
Anthony,Tiffany,idol,
Anthony,Liz,immunity,
Anthony,Maria,immunity,
Anthony,Hunter,immunity,
Anthony,Q,immunity,
Anthony,Venus,immunity,
Anthony,Jess,final_tribal,10
Anthony,Maria,final_tribal,30
Anthony,Soda,final_tribal,10
Anthony,Maria,winner,
Ryan,Ben,merge,
Ryan,Kenzie,merge,
Ryan,Charlie,merge,
Ryan,Maria,merge,
Ryan,Hunter,merge,
Ryan,Moriah,merge,
Ryan,Soda,merge,
Ryan,Randen,merge,
Ryan,Tevin,merge,
Ryan,Venus,merge,
Ryan,Bhanu,idol,
Ryan,Hunter,idol,
Ryan,Q,idol,
Ryan,Randen,idol,
Ryan,Tiffany,idol,
Ryan,Ben,immunity,
Ryan,Kenzie,immunity,
Ryan,Hunter,immunity,
Ryan,Q,immunity,
Ryan,Venus,immunity,
Ryan,Ben,final_tribal,9
Ryan,Kenzie,final_tribal,10
Ryan,Maria,final_tribal,5
Ryan,Hunter,final_tribal,5
Ryan,Soda,final_tribal,4
Ryan,Randen,final_tribal,7
Ryan,Venus,final_tribal,10
Ryan,Ben,winner,